Date	DayOfWeek	Name	Type
1/1/2000	Saturday	New Year's Day	National Holiday
3/20/2000	Monday	March Equinox	Season
4/23/2000	Sunday	National Sovereignty and Children's Day	National Holiday
5/19/2000	Friday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2000	Wednesday	June Solstice	Season
8/30/2000	Wednesday	Victory Day	National Holiday
9/22/2000	Friday	September Equinox	Season
10/28/2000	Saturday	Republic Day Eve	Half Day
10/29/2000	Sunday	Republic Day	National Holiday
11/10/2000	Friday	Ataturk Commemoration Day	Observance
12/21/2000	Thursday	December Solstice	Season
12/31/2000	Sunday	New Year's Eve	Observance
1/1/2001	Monday	New Year's Day	National Holiday
3/20/2001	Tuesday	March Equinox	Season
4/23/2001	Monday	National Sovereignty and Children's Day	National Holiday
5/19/2001	Saturday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2001	Thursday	June Solstice	Season
8/30/2001	Thursday	Victory Day	National Holiday
9/23/2001	Sunday	September Equinox	Season
10/28/2001	Sunday	Republic Day Eve	Half Day
10/29/2001	Monday	Republic Day	National Holiday
11/10/2001	Saturday	Ataturk Commemoration Day	Observance
12/21/2001	Friday	December Solstice	Season
12/31/2001	Monday	New Year's Eve	Observance
1/1/2002	Tuesday	New Year's Day	National Holiday
3/20/2002	Wednesday	March Equinox	Season
4/23/2002	Tuesday	National Sovereignty and Children's Day	National Holiday
5/19/2002	Sunday	Commemoration of Atatürk, Youth and Sports Day	National Holiday
6/21/2002	Friday	June Solstice	Season
8/30/2002	Friday	Victory Day	National Holiday
9/23/2002	Monday	September Equinox	Season
10/28/2002	Monday	Republic Day Eve	Half Day
10/29/2002	Tuesday	Republic Day	National Holiday
11/10/2002	Sunday	Ataturk Commemoration Day	Observance
12/22/2002	Sunday	December Solstice	Season
12/31/2002	Tuesday	New Year's Eve	Observance
1/1/2003	Wednesday	New Year's Day	National Holiday
3/21/2003	Friday	March Equinox	Season
4/23/2003	Wednesday	National Sovereignty and Children's Day	National Holiday
